key,latitude,longitude,current,sim_start,start,end,command
fire_21889953,46.85543639467479,-120.07984202307114,2018-07-19,20180718_18,2018-07-19,2018-07-26,./setup_wps_wrf.py -b 20180718_18 -c configs/fire_21889953.yaml
fire_23301395,44.38792631787219,-109.85637979305804,2019-09-02,20190901_18,2019-09-02,2019-09-14,./setup_wps_wrf.py -b 20190901_18 -c configs/fire_23301395.yaml
fire_22141327,46.75336355488994,-119.46682003839256,2018-09-06,20180905_18,2018-09-06,2018-09-13,./setup_wps_wrf.py -b 20180905_18 -c configs/fire_22141327.yaml
fire_25138926,37.07484387020188,-116.42118357249794,2021-05-14,20210513_18,2021-05-14,2021-05-27,./setup_wps_wrf.py -b 20210513_18 -c configs/fire_25138926.yaml
fire_23036564,33.40692124761572,-110.30979211085608,2019-07-22,20190721_18,2019-07-22,2019-08-05,./setup_wps_wrf.py -b 20190721_18 -c configs/fire_23036564.yaml
fire_23301095,38.88745328676578,-112.3467012874829,2019-09-07,20190906_18,2019-09-07,2019-09-16,./setup_wps_wrf.py -b 20190906_18 -c configs/fire_23301095.yaml
fire_24332787,34.67678875409553,-118.55788751471395,2020-08-11,20200810_18,2020-08-11,2020-08-24,./setup_wps_wrf.py -b 20200810_18 -c configs/fire_24332787.yaml
fire_25205255,45.45633254741782,-120.96751112702948,2021-06-29,20210628_18,2021-06-29,2021-07-02,./setup_wps_wrf.py -b 20210628_18 -c configs/fire_25205255.yaml
fire_23410616,34.45390030397975,-118.38969197400934,2019-10-19,20191018_18,2019-10-19,2019-10-30,./setup_wps_wrf.py -b 20191018_18 -c configs/fire_23410616.yaml
fire_21890078,41.66823786066859,-116.93599474739574,2018-07-07,20180706_18,2018-07-07,2018-07-10,./setup_wps_wrf.py -b 20180706_18 -c configs/fire_21890078.yaml
fire_25295862,47.19497952558324,-115.52240776868048,2021-07-22,20210721_18,2021-07-22,2021-08-12,./setup_wps_wrf.py -b 20210721_18 -c configs/fire_25295862.yaml
fire_24104640,37.29244846619515,-108.2137952455596,2020-06-13,20200612_18,2020-06-13,2020-06-20,./setup_wps_wrf.py -b 20200612_18 -c configs/fire_24104640.yaml
fire_21748798,34.66746841224316,-112.35466455391644,2018-05-10,20180509_18,2018-05-10,2018-05-13,./setup_wps_wrf.py -b 20180509_18 -c configs/fire_21748798.yaml
fire_24191360,40.42071824624635,-120.80764060527558,2020-07-18,20200717_18,2020-07-18,2020-07-24,./setup_wps_wrf.py -b 20200717_18 -c configs/fire_24191360.yaml
fire_21998100,45.17717261771589,-119.98302884670092,2018-08-18,20180817_18,2018-08-18,2018-08-22,./setup_wps_wrf.py -b 20180817_18 -c configs/fire_21998100.yaml
fire_22141572,40.86235061335372,-112.78500939161002,2018-09-01,20180831_18,2018-09-01,2018-09-05,./setup_wps_wrf.py -b 20180831_18 -c configs/fire_22141572.yaml
fire_23410617,34.320302316516695,-118.51791681575686,2019-10-09,20191008_18,2019-10-09,2019-10-19,./setup_wps_wrf.py -b 20191008_18 -c configs/fire_23410617.yaml
fire_25086458,48.09313531038481,-104.88151573075628,2021-04-26,20210425_18,2021-04-26,2021-05-06,./setup_wps_wrf.py -b 20210425_18 -c configs/fire_25086458.yaml
fire_21889672,42.80449884673568,-122.71338906906442,2018-07-17,20180716_18,2018-07-17,2018-08-15,./setup_wps_wrf.py -b 20180716_18 -c configs/fire_21889672.yaml
fire_25205954,44.12715636381191,-110.37222701227816,2021-06-01,20210531_18,2021-06-01,2021-06-16,./setup_wps_wrf.py -b 20210531_18 -c configs/fire_25205954.yaml
fire_21890643,44.1377267700336,-107.7469559944178,2018-07-09,20180708_18,2018-07-09,2018-07-13,./setup_wps_wrf.py -b 20180708_18 -c configs/fire_21890643.yaml
fire_21890065,41.94780784229108,-116.07699062717325,2018-07-20,20180719_18,2018-07-20,2018-07-25,./setup_wps_wrf.py -b 20180719_18 -c configs/fire_21890065.yaml
fire_21890091,41.21049444569321,-108.98025601291494,2018-07-29,20180728_18,2018-07-29,2018-08-06,./setup_wps_wrf.py -b 20180728_18 -c configs/fire_21890091.yaml
fire_21617464,39.83190828422065,-103.44573613920583,2018-03-02,20180301_18,2018-03-02,2018-03-05,./setup_wps_wrf.py -b 20180301_18 -c configs/fire_21617464.yaml
fire_25205295,40.986806705544886,-108.9511911974434,2021-06-19,20210618_18,2021-06-19,2021-07-02,./setup_wps_wrf.py -b 20210618_18 -c configs/fire_25205295.yaml
fire_24332600,41.17465933313475,-123.51232292156594,2020-08-07,20200806_18,2020-08-07,2020-08-18,./setup_wps_wrf.py -b 20200806_18 -c configs/fire_24332600.yaml
fire_24191743,40.5647655398438,-115.75729696827965,2020-07-20,20200719_18,2020-07-20,2020-07-29,./setup_wps_wrf.py -b 20200719_18 -c configs/fire_24191743.yaml
fire_24463211,45.7357533723676,-110.93109237053297,2020-09-04,20200903_18,2020-09-04,2020-09-09,./setup_wps_wrf.py -b 20200903_18 -c configs/fire_24463211.yaml
fire_25017306,46.2905953938144,-116.32954177944778,2021-03-23,20210322_18,2021-03-23,2021-04-05,./setup_wps_wrf.py -b 20210322_18 -c configs/fire_25017306.yaml
fire_25639187,34.49450650059858,-120.10831499976256,2021-10-09,20211008_18,2021-10-09,2021-10-17,./setup_wps_wrf.py -b 20211008_18 -c configs/fire_25639187.yaml
fire_23300699,38.705225654004046,-120.16342674718616,2019-09-29,20190928_18,2019-09-29,2019-10-18,./setup_wps_wrf.py -b 20190928_18 -c configs/fire_23300699.yaml
fire_25548678,45.57424300407693,-113.76162761439556,2021-09-01,20210831_18,2021-09-01,2021-09-19,./setup_wps_wrf.py -b 20210831_18 -c configs/fire_25548678.yaml
fire_23493983,41.81483417190468,-111.46400137749356,2019-11-03,20191102_18,2019-11-03,2019-11-11,./setup_wps_wrf.py -b 20191102_18 -c configs/fire_23493983.yaml
fire_24462764,42.63603452992216,-121.91147390796556,2020-09-07,20200906_18,2020-09-07,2020-09-12,./setup_wps_wrf.py -b 20200906_18 -c configs/fire_24462764.yaml
fire_24604462,33.91005469557232,-117.70267427909054,2020-10-22,20201021_18,2020-10-22,2020-10-29,./setup_wps_wrf.py -b 20201021_18 -c configs/fire_24604462.yaml
fire_24191423,33.55185872468939,-110.39290997454368,2020-07-30,20200729_18,2020-07-30,2020-08-14,./setup_wps_wrf.py -b 20200729_18 -c configs/fire_24191423.yaml
fire_21889779,37.629594082996114,-119.806823922933,2018-07-12,20180711_18,2018-07-12,2018-08-15,./setup_wps_wrf.py -b 20180711_18 -c configs/fire_21889779.yaml
fire_23036806,46.47210311410917,-119.69838139455253,2019-07-17,20190716_18,2019-07-17,2019-07-23,./setup_wps_wrf.py -b 20190716_18 -c configs/fire_23036806.yaml
fire_25411013,44.55233928820813,-115.20631047247318,2021-08-22,20210821_18,2021-08-22,2021-10-04,./setup_wps_wrf.py -b 20210821_18 -c configs/fire_25411013.yaml
fire_25411134,42.23174790732991,-120.58405707523222,2021-08-11,20210810_18,2021-08-11,2021-08-28,./setup_wps_wrf.py -b 20210810_18 -c configs/fire_25411134.yaml
fire_25205306,40.69783818159454,-106.7172708557124,2021-06-01,20210531_18,2021-06-01,2021-06-13,./setup_wps_wrf.py -b 20210531_18 -c configs/fire_25205306.yaml
fire_25294754,37.33197454439629,-119.83259457991986,2021-07-10,20210709_18,2021-07-10,2021-07-16,./setup_wps_wrf.py -b 20210709_18 -c configs/fire_25294754.yaml
fire_23159855,40.79665898134845,-114.55173265133024,2019-08-06,20190805_18,2019-08-06,2019-08-12,./setup_wps_wrf.py -b 20190805_18 -c configs/fire_23159855.yaml
fire_25205788,46.36250131625271,-111.13500037645235,2021-06-14,20210613_18,2021-06-14,2021-06-17,./setup_wps_wrf.py -b 20210613_18 -c configs/fire_25205788.yaml
fire_21804590,37.41680073541127,-120.28730730113146,2018-06-16,20180615_18,2018-06-16,2018-06-19,./setup_wps_wrf.py -b 20180615_18 -c configs/fire_21804590.yaml
fire_24333270,46.31557685567488,-108.37380571662756,2020-08-31,20200830_18,2020-08-31,2020-09-10,./setup_wps_wrf.py -b 20200830_18 -c configs/fire_24333270.yaml
fire_23037424,47.44923917004081,-114.36751092159304,2019-07-20,20190719_18,2019-07-20,2019-07-31,./setup_wps_wrf.py -b 20190719_18 -c configs/fire_23037424.yaml
fire_21889682,42.66656841758936,-123.16784529527396,2018-07-15,20180714_18,2018-07-15,2018-07-27,./setup_wps_wrf.py -b 20180714_18 -c configs/fire_21889682.yaml
fire_25295099,42.62106797247208,-121.0808771448634,2021-07-06,20210705_18,2021-07-06,2021-08-07,./setup_wps_wrf.py -b 20210705_18 -c configs/fire_25295099.yaml
fire_25295869,47.11368011956619,-111.67895631366096,2021-07-23,20210722_18,2021-07-23,2021-08-09,./setup_wps_wrf.py -b 20210722_18 -c configs/fire_25295869.yaml
fire_24332622,40.32322144285628,-120.72641843279747,2020-08-18,20200817_18,2020-08-18,2020-09-07,./setup_wps_wrf.py -b 20200817_18 -c configs/fire_24332622.yaml
fire_23159642,35.01388926045836,-111.89673673530976,2019-08-07,20190806_18,2019-08-07,2019-08-23,./setup_wps_wrf.py -b 20190806_18 -c configs/fire_23159642.yaml
fire_25411057,43.49429532790625,-122.6327239742444,2021-08-07,20210806_18,2021-08-07,2021-08-24,./setup_wps_wrf.py -b 20210806_18 -c configs/fire_25411057.yaml
fire_22343661,39.750650511462105,-121.58244295585804,2018-11-07,20181106_18,2018-11-07,2018-11-19,./setup_wps_wrf.py -b 20181106_18 -c configs/fire_22343661.yaml
fire_24604463,33.719608156397015,-117.69941942598774,2020-10-21,20201020_18,2020-10-21,2020-10-29,./setup_wps_wrf.py -b 20201020_18 -c configs/fire_24604463.yaml
fire_24191363,39.846933944953605,-119.9867637134163,2020-07-27,20200726_18,2020-07-27,2020-08-06,./setup_wps_wrf.py -b 20200726_18 -c configs/fire_24191363.yaml
fire_21804942,39.415838598821885,-111.17074739496088,2018-06-07,20180606_18,2018-06-07,2018-06-27,./setup_wps_wrf.py -b 20180606_18 -c configs/fire_21804942.yaml
fire_24025599,36.56429783110501,-113.85535535107796,2020-05-11,20200510_18,2020-05-11,2020-05-13,./setup_wps_wrf.py -b 20200510_18 -c configs/fire_24025599.yaml
fire_24332796,33.974130447494765,-111.17158993101276,2020-08-25,20200824_18,2020-08-25,2020-09-02,./setup_wps_wrf.py -b 20200824_18 -c configs/fire_24332796.yaml
fire_24461996,47.61410454425497,-118.49429413254994,2020-09-02,20200901_18,2020-09-02,2020-09-11,./setup_wps_wrf.py -b 20200901_18 -c configs/fire_24461996.yaml
fire_25295956,44.72949279854797,-111.61063734396802,2021-07-08,20210707_18,2021-07-08,2021-07-24,./setup_wps_wrf.py -b 20210707_18 -c configs/fire_25295956.yaml
fire_25294687,41.13791673916927,-122.89307669737885,2021-07-29,20210728_18,2021-07-29,2021-09-21,./setup_wps_wrf.py -b 20210728_18 -c configs/fire_25294687.yaml
fire_21889957,46.68628161403664,-119.63496137099078,2018-07-19,20180718_18,2018-07-19,2018-07-27,./setup_wps_wrf.py -b 20180718_18 -c configs/fire_21889957.yaml
fire_25410996,44.8840061361587,-122.03094558131916,2021-08-03,20210802_18,2021-08-03,2021-08-25,./setup_wps_wrf.py -b 20210802_18 -c configs/fire_25410996.yaml
fire_21889826,33.71625160392129,-116.6996089579364,2018-07-23,20180722_18,2018-07-23,2018-08-03,./setup_wps_wrf.py -b 20180722_18 -c configs/fire_21889826.yaml
fire_24462306,45.01055737006847,-123.93347808801632,2020-09-07,20200906_18,2020-09-07,2020-09-17,./setup_wps_wrf.py -b 20200906_18 -c configs/fire_24462306.yaml
fire_24027563,46.59821541675627,-119.44814548542789,2020-05-18,20200517_18,2020-05-18,2020-06-01,./setup_wps_wrf.py -b 20200517_18 -c configs/fire_24027563.yaml
fire_23301046,42.46749831521088,-116.85818377974928,2019-09-09,20190908_18,2019-09-09,2019-09-21,./setup_wps_wrf.py -b 20190908_18 -c configs/fire_23301046.yaml
fire_24332801,33.528573729930486,-110.63492870052896,2020-08-17,20200816_18,2020-08-17,2020-08-30,./setup_wps_wrf.py -b 20200816_18 -c configs/fire_24332801.yaml
fire_21690071,38.84197833307532,-103.44152208909496,2018-04-16,20180415_18,2018-04-16,2018-04-24,./setup_wps_wrf.py -b 20180415_18 -c configs/fire_21690071.yaml
fire_24461771,34.33060619491223,-117.93097450278194,2020-09-04,20200903_18,2020-09-04,2020-09-28,./setup_wps_wrf.py -b 20200903_18 -c configs/fire_24461771.yaml
fire_25294976,47.51986545743353,-120.36499034396184,2021-07-11,20210710_18,2021-07-11,2021-07-19,./setup_wps_wrf.py -b 20210710_18 -c configs/fire_25294976.yaml
fire_25410972,45.54041911430181,-115.78634164888705,2021-08-26,20210825_18,2021-08-26,2021-09-14,./setup_wps_wrf.py -b 20210825_18 -c configs/fire_25410972.yaml
fire_24462867,40.62322691493638,-106.76706104269468,2020-09-06,20200905_18,2020-09-06,2020-10-09,./setup_wps_wrf.py -b 20200905_18 -c configs/fire_24462867.yaml
fire_24935874,37.8478847706822,-119.91220534216976,2021-02-04,20210203_18,2021-02-04,2021-02-24,./setup_wps_wrf.py -b 20210203_18 -c configs/fire_24935874.yaml
fire_24695430,39.33416754188454,-121.69485356776184,2020-11-20,20201119_18,2020-11-20,2020-11-26,./setup_wps_wrf.py -b 20201119_18 -c configs/fire_24695430.yaml
fire_24027570,40.83147608670433,-112.50007720599656,2020-05-28,20200527_18,2020-05-28,2020-06-03,./setup_wps_wrf.py -b 20200527_18 -c configs/fire_24027570.yaml
fire_21998287,40.805943582121,-116.8063561589764,2018-08-17,20180816_18,2018-08-17,2018-08-23,./setup_wps_wrf.py -b 20180816_18 -c configs/fire_21998287.yaml
fire_21804572,40.32867977393216,-121.82423150092366,2018-06-23,20180622_18,2018-06-23,2018-06-27,./setup_wps_wrf.py -b 20180622_18 -c configs/fire_21804572.yaml
fire_25411925,41.52089852624233,-103.36694343173674,2021-08-04,20210803_18,2021-08-04,2021-08-10,./setup_wps_wrf.py -b 20210803_18 -c configs/fire_25411925.yaml
fire_25084892,33.412333237577826,-105.84048290521083,2021-04-25,20210424_18,2021-04-25,2021-05-03,./setup_wps_wrf.py -b 20210424_18 -c configs/fire_25084892.yaml
fire_22141343,46.49694298595266,-119.33656118065156,2018-09-06,20180905_18,2018-09-06,2018-09-13,./setup_wps_wrf.py -b 20180905_18 -c configs/fire_22141343.yaml
fire_24191357,41.06349230834602,-120.81054098694597,2020-07-20,20200719_18,2020-07-20,2020-07-31,./setup_wps_wrf.py -b 20200719_18 -c configs/fire_24191357.yaml
fire_24027580,37.42646857233421,-103.4357589731684,2020-05-20,20200519_18,2020-05-20,2020-05-28,./setup_wps_wrf.py -b 20200519_18 -c configs/fire_24027580.yaml
fire_22938746,33.89491949393435,-111.72814379407215,2019-06-07,20190606_18,2019-06-07,2019-06-11,./setup_wps_wrf.py -b 20190606_18 -c configs/fire_22938746.yaml
fire_23159637,35.39031271716955,-112.02236226687934,2019-08-05,20190804_18,2019-08-05,2019-08-16,./setup_wps_wrf.py -b 20190804_18 -c configs/fire_23159637.yaml
fire_24333285,45.67067109702538,-106.22870411265484,2020-08-31,20200830_18,2020-08-31,2020-09-09,./setup_wps_wrf.py -b 20200830_18 -c configs/fire_24333285.yaml
fire_25088019,47.55706926810868,-102.59925906714624,2021-04-26,20210425_18,2021-04-26,2021-05-10,./setup_wps_wrf.py -b 20210425_18 -c configs/fire_25088019.yaml
fire_25204900,33.25126832219786,-110.84249854649067,2021-06-02,20210601_18,2021-06-02,2021-06-21,./setup_wps_wrf.py -b 20210601_18 -c configs/fire_25204900.yaml
fire_21890100,40.76329717994378,-117.51507460685356,2018-07-24,20180723_18,2018-07-24,2018-08-05,./setup_wps_wrf.py -b 20180723_18 -c configs/fire_21890100.yaml
fire_24191377,37.199282694903054,-113.55004800172703,2020-07-13,20200712_18,2020-07-13,2020-07-16,./setup_wps_wrf.py -b 20200712_18 -c configs/fire_24191377.yaml
fire_25411093,43.096392918323104,-122.7665509311858,2021-08-08,20210807_18,2021-08-08,2021-09-14,./setup_wps_wrf.py -b 20210807_18 -c configs/fire_25411093.yaml
fire_24604832,40.15809979957024,-105.33424379686296,2020-10-28,20201027_18,2020-10-28,2020-10-30,./setup_wps_wrf.py -b 20201027_18 -c configs/fire_24604832.yaml
fire_21890033,43.05543294854037,-114.7222846557751,2018-07-17,20180716_18,2018-07-17,2018-07-22,./setup_wps_wrf.py -b 20180716_18 -c configs/fire_21890033.yaml
fire_24332784,35.01834231264483,-113.87378284074676,2020-08-18,20200817_18,2020-08-18,2020-08-27,./setup_wps_wrf.py -b 20200817_18 -c configs/fire_24332784.yaml
fire_24332702,38.61894329830734,-123.02143779739934,2020-08-16,20200815_18,2020-08-16,2020-08-27,./setup_wps_wrf.py -b 20200815_18 -c configs/fire_24332702.yaml
fire_25204868,34.49022770466393,-110.61459689517235,2021-06-18,20210617_18,2021-06-18,2021-06-26,./setup_wps_wrf.py -b 20210617_18 -c configs/fire_25204868.yaml
fire_21458836,35.62481817088222,-119.25451246676369,2018-01-02,20180101_18,2018-01-02,2018-01-28,./setup_wps_wrf.py -b 20180101_18 -c configs/fire_21458836.yaml
fire_22141577,40.67166637555421,-115.46555427728006,2018-09-27,20180926_18,2018-09-27,2018-10-13,./setup_wps_wrf.py -b 20180926_18 -c configs/fire_22141577.yaml
